Name,Key1,Group1,Key2,Group2,Key3,Group3,Key4,Group4
Action.bmp,L,E,L,C,R,E,R,C
AndEatItToo.bmp,R,C,L,E,L,C,R,E
CeciNestPasUnePipe.bmp,R,E,R,C,L,E,L,C
JohnDoeBook.bmp,L,C,R,E,R,C,L,E
Litewally.bmp,L,E,L,C,R,E,R,C
LovelyJumper.bmp,R,C,L,E,L,C,R,E
OrangeChair.bmp,R,E,R,C,L,E,L,C
PurpleTower.bmp,L,C,R,E,R,C,S.1,NA
SmokeDetector.bmp,L,E,L,C,R,E,S.2,NA
SpaceRace.bmp,R,C,L,E,L,C,L,E
SpiceRack.bmp,R,E,R,C,S.1,NA,R,C
SpinTheWheel.bmp,L,C,R,E,S.2,NA,R,E
StackedBoxes.bmp,L,E,L,C,L,E,L,C
TangleOfGender.bmp,R,C,S.1,NA,R,C,L,E
Toaster.bmp,R,E,S.2,NA,R,E,R,C
TulipVine.bmp,L,C,L,E,L,C,R,E
WillHunting.bmp,S.1,NA,R,C,L,E,L,C
WrappedGift.bmp,S.2,NA,R,E,R,C,L,E
